Container, 0, 0, 0, 0.017305, 0.017305, 0
Link, 0, MPI_LINK, 0.000098, 0.001553, 0.001455, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000098, 0.001643, 0.001545, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.000098, 0.001643, 0.001545, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.000098, 0.001666, 0.001568, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.001553, 0.002269, 0.000716, PTP, rank-1, rank-2, 1_2_-3334_8
Link, 0, MPI_LINK, 0.001643, 0.002269, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_10
Link, 0, MPI_LINK, 0.001643, 0.002269, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_9
Link, 0, MPI_LINK, 0.001666, 0.002493, 0.000827, PTP, rank-4, rank-5, 4_5_-3334_12
Link, 0, MPI_LINK, 0.001666, 0.002493, 0.000827, PTP, rank-4, rank-6, 4_6_-3334_11
Link, 0, MPI_LINK, 0.002493, 0.003119, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_17
Link, 0, MPI_LINK, 0.001553, 0.003314, 0.001761, PTP, rank-1, rank-9, 1_9_-3334_5
Link, 0, MPI_LINK, 0.001553, 0.003314, 0.001761, PTP, rank-1, rank-3, 1_3_-3334_7
Link, 0, MPI_LINK, 0.001553, 0.003470, 0.001917, PTP, rank-1, rank-5, 1_5_-3334_6
Link, 0, MPI_LINK, 0.002269, 0.003940, 0.001671, PTP, rank-2, rank-3, 2_3_-3334_16
Link, 0, MPI_LINK, 0.003314, 0.003940, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_19
Link, 0, MPI_LINK, 0.003314, 0.003940, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_18
Link, 0, MPI_LINK, 0.003470, 0.004297, 0.000827, PTP, rank-5, rank-6, 5_6_-3334_21
Link, 0, MPI_LINK, 0.003470, 0.004297, 0.000827, PTP, rank-5, rank-7, 5_7_-3334_20
Link, 0, MPI_LINK, 0.002269, 0.004919, 0.002650, PTP, rank-2, rank-0, 2_0_-3334_13
Link, 0, MPI_LINK, 0.002269, 0.004919, 0.002650, PTP, rank-2, rank-4, 2_4_-3334_15
Link, 0, MPI_LINK, 0.004297, 0.004923, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_26
