Container, 0, 0, 0, 0.011932, 0.011932, 0
Link, 0, MPI_LINK, 0.001500, 0.002926, 0.001426, PTP, rank-2, rank-3, 2_3_-3334_3
Link, 0, MPI_LINK, 0.001500, 0.003826, 0.002326, PTP, rank-2, rank-4, 2_4_-3334_2
Link, 0, MPI_LINK, 0.002926, 0.004452, 0.001526, PTP, rank-3, rank-4, 3_4_-3334_6
Link, 0, MPI_LINK, 0.003826, 0.004452, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_7
Link, 0, MPI_LINK, 0.002926, 0.005078, 0.002152, PTP, rank-3, rank-5, 3_5_-3334_5
Link, 0, MPI_LINK, 0.001500, 0.005226, 0.003726, PTP, rank-2, rank-6, 2_6_-3334_1
Link, 0, MPI_LINK, 0.004452, 0.005704, 0.001252, PTP, rank-4, rank-5, 4_5_-3334_10
Link, 0, MPI_LINK, 0.005078, 0.006070, 0.000992, PTP, rank-5, rank-6, 5_6_-3334_11
Link, 0, MPI_LINK, 0.005226, 0.006070, 0.000844, PTP, rank-6, rank-0, 6_0_-3334_13
Link, 0, MPI_LINK, 0.005226, 0.006070, 0.000844, PTP, rank-6, rank-1, 6_1_-3334_12
Link, 0, MPI_LINK, 0.004452, 0.006696, 0.002244, PTP, rank-4, rank-6, 4_6_-3334_9
Link, 0, MPI_LINK, 0.002926, 0.006696, 0.003770, PTP, rank-3, rank-0, 3_0_-3334_4
Link, 0, MPI_LINK, 0.005704, 0.007322, 0.001618, PTP, rank-5, rank-6, 5_6_-3334_16
Link, 0, MPI_LINK, 0.006696, 0.007539, 0.000843, PTP, rank-6, rank-0, 6_0_-3334_17
Link, 0, MPI_LINK, 0.006696, 0.007539, 0.000843, PTP, rank-0, rank-1, 0_1_-3334_19
Link, 0, MPI_LINK, 0.006696, 0.007539, 0.000843, PTP, rank-0, rank-2, 0_2_-3334_18
Link, 0, MPI_LINK, 0.005704, 0.008165, 0.002461, PTP, rank-5, rank-0, 5_0_-3334_15
Link, 0, MPI_LINK, 0.004452, 0.008165, 0.003713, PTP, rank-4, rank-1, 4_1_-3334_8
Link, 0, MPI_LINK, 0.007322, 0.008791, 0.001469, PTP, rank-6, rank-0, 6_0_-3334_22
Link, 0, MPI_LINK, 0.008165, 0.009009, 0.000844, PTP, rank-0, rank-1, 0_1_-3334_23
Link, 0, MPI_LINK, 0.008165, 0.009009, 0.000844, PTP, rank-1, rank-2, 1_2_-3334_25
Link, 0, MPI_LINK, 0.008165, 0.009009, 0.000844, PTP, rank-1, rank-3, 1_3_-3334_24
Link, 0, MPI_LINK, 0.007322, 0.009635, 0.002313, PTP, rank-6, rank-1, 6_1_-3334_21
Link, 0, MPI_LINK, 0.005704, 0.009635, 0.003931, PTP, rank-5, rank-2, 5_2_-3334_14
Link, 0, MPI_LINK, 0.009635, 0.010479, 0.000844, PTP, rank-1, rank-2, 1_2_-3334_26
Link, 0, MPI_LINK, 0.009635, 0.010479, 0.000844, PTP, rank-2, rank-3, 2_3_-3334_28
Link, 0, MPI_LINK, 0.009635, 0.010479, 0.000844, PTP, rank-2, rank-4, 2_4_-3334_27
Link, 0, MPI_LINK, 0.007322, 0.011105, 0.003783, PTP, rank-6, rank-3, 6_3_-3334_20
Link, 0, MPI_LINK, 0.011105, 0.011932, 0.000827, PTP, rank-3, rank-4, 3_4_-3334_30
Link, 0, MPI_LINK, 0.011105, 0.011932, 0.000827, PTP, rank-3, rank-5, 3_5_-3334_29
Container, 0, MPI, 0, 0.011932, 0.011932, rank-6
State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.004600, 0.005226, 0.000626, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.005226, 0.006070, 0.000844, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.006070, 0.006696, 0.000626, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.006696, 0.007322, 0.000626, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.007322, 0.007322, 0.000000, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.007322, 0.011932, 0.004610, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.011932, 0.011932, rank-5
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-5, MPI_STATE, 0.003800, 0.004452, 0.000652, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.004452, 0.005078, 0.000626, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.005078, 0.005704, 0.000626, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.005704, 0.005704, 0.000000, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.005704, 0.011932, 0.006228, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.011932, 0.011932, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.011932, 0.011932, rank-4
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.003200, 0.003826, 0.000626, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.003826, 0.004452, 0.000626, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.004452, 0.004452, 0.000000, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.004452, 0.010479, 0.006027, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.010479, 0.011932, 0.001453, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.011932, 0.011932, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.011932, 0.011932, rank-3
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-3, MPI_STATE, 0.002300, 0.002926, 0.000626, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.002926, 0.002926, 0.000000, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.002926, 0.009009, 0.006083, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.009009, 0.010479, 0.001470, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.010479, 0.011105, 0.000626, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.011105, 0.011932, 0.000827, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.011932, 0.011932, rank-2
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-2, MPI_STATE, 0.001500, 0.001500, 0.000000, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.001500, 0.007539, 0.006039, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.007539, 0.009009, 0.001470, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.009009, 0.009635, 0.000626, 0.000000, PMPI_Bcast
